author,title,isbn,dept_course
MOORE,100 YEARS OF THE BEST AM.SHORT STORIES,9780547485850,"['ENGH 608', 'ENGH 660']"
MOORE,21ST CENTURY GUIDEBOOK TO FUNGI-W/CD,9780521186957,"['BIOL 408', 'EVPP 408']"
MOORE,MATLAB FOR ENGINEERS,9780133485974,['ME 151']
MOORE,MEDIATION PROCESS,9781118304303,['NCLC 395']
MOORE,MUSIC IN THE HISPANIC CARIBBEAN-W/CD,9780195375053,['MUSI 431']
MOORE,PRACTICE IN CONTEXT,9780814136614,['ENGH 615']
MORFORD,CLASSICAL MYTHOLOGY,9780199997329,['ARTH 102']
MORGAN,WHEN CHICKENHEADS COME HOME TO ROOST,9780684868615,['WMST 100']
MORRIS,RIGHTEOUS VICTIMS,9780679744757,['GOVT 444']
MORRISON,BELOVED-W/NEW FOREWARD,9781400033416,"['ENGH 201', 'ENGH 204', 'ENGH 419', 'HNRS 130']"
MORRISON,BLUEST EYE,9780307278449,['ENGH 419']
MORRISON,DESIGNING EFFECTIVE INSTRUCTION,9781118359990,['EDIT 705']
MORRISON,GLOBAL BUSINESS ENVIRONMENT,9780230210257,['BUS 200']
MORRISON,GOD HELP THE CHILD,9780307594174,['ENGH 419']
MORRISON,SONG OF SOLOMON,9781400033423,"['ENGH 355', 'HNRS 130']"
MORROW,LITERACY DEV.IN EARLY YEARS(LL)-W/CODE,9780133831016,['EDRD 630']
MORSE,MULTICULTURAL INTELLIGENCE,9780980174595,['MKTG 455']
MORTON,HYPEROBJECTS,9780816689231,"['GOVT 327', 'GOVT 731']"
MOSBY,MOSBY'S NURSING DRUG REF.-2016,9780323370240,['NURS RN RETRN']
MOSS,AFRICAN DEVELOPMENT,9781588267696,"['GLOA 450', 'GLOA 599']"
MOSTELLER,DATA ANALYSIS+REGRESSION,9780201048544,['ECON 345']
MOTTAHEDEH,MANTLE OF THE PROPHET,9781851686162,['HIST 387']
MOULIN,AXIOMS OF COOPERATIVE DECISION MAKING,9780521424585,['ECON 826']
MOYES,ME BEFORE YOU,9780143124542,['ENGH 202']
MOYN,HUMAN RIGHTS&THE USES OF HISTORY,9781781682630,['HNRS 240']
MPS,"ICLICKER 2, NEW",9781464152931,"['BIOL 213', 'MUSI 102']"
MUCHINSKY,PSYCHOLOGY APPLIED TO WORK,9780974934501,['PSYC 333']
MUIR,RITUAL IN EARLY MODERN EUROPE,9780521602402,['HIST 643']
MUKHERJEE,HOLDER OF THE WORLD,9780449909669,['ENGH 650']
MULLEN,RECYCLOPEDIA,9781555974565,['ENGH 310']
MULLER,DEVICE ELECTRON.F/INTEG.CIRCUITS,9780471593980,['ECE 684']
MULLER,REISENDE AUF EINEM BEIN,9783596187782,['GERM 365']
MUNKRES,TOPOLOGY,9780131816299,"['MATH 431', 'MATH 631']"
MURAKAMI,UNDERGROUND,9780375725807,['HIST 357']
MURASKIN,CRIME+THE MEDIA,9780131921337,['CRIM 490']
MURATA,TAO OF ISLAM,9780791409145,['RELI 645']
MURDOCH,BLUE TEAM HANDBOOK: INCIDENT RESPONSE...,9781500734756,"['CFRS 664', 'TCOM 664']"
MURPHY,PLEASE TALK ABOUT ME WHEN I'M GONE,9780989880503,['PRLS 210']
MURRAY,COMING APART,9780307453433,['GOVT 467']
MURRAY,WAR TO BE WON,9780674006805,['HIST 388']
MYER,EXPLORING PSYC W/DSM 5 UPDATE+LAUNCHPAD,9781319029609,['PSYC 100']
MYERS,EXPLORING PSYCH...DSM5 UPDATE(LL)-PKG.,9781464189623,['PSYC 100']
MYERS,EXPLORING PSYCHOLOGY (PB) DSM-5 UPDATED,9781464163364,['PSYC 100']
MYERS,EXPLORING PSYC-LAUNCHPAD W/PLARSM INSRT,9781319029623,['PSYC 100']
MYERS,GENERALIZED LINEAR MODELS,9780470454633,['STAT 654']
MYERS,PSYCHOLOGY,9781464140815,['PSYC 100']
NA,STEP FROM HEAVEN,9780142500279,['EDRD 610']
NABOKOV,LOLITA,9780679723165,['ENGH 355']
NADER,FROM LEBANON TO AFRICA+AMERICA,9780757592621,['COMM 305']
NAITHAN,MBUS 305:MANAGING IN A GLOBAL ECONOMY,9781308586687,['MBUS 305']
NAJAFI,"PATHWAYS FOUND:LSTN,SPK&CIT THNK W/EWKBK",9781285583563,['AE 031']
NAKASH,REACHING FOR POWER,9780691134789,['HIST 387']
